2024-06-11 16:23:10,282.bbq_producer.INFO ==================================================
2024-06-11 16:23:10,283.bbq_producer.INFO Today is 2024-06-11 at 04:23 PM
2024-06-11 16:23:10,283.bbq_producer.INFO Running on: nt Windows 10
2024-06-11 16:23:10,284.bbq_producer.INFO Python version:  3.11.9
2024-06-11 16:23:10,285.bbq_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-11 16:23:10,286.bbq_producer.INFO Working dir: C:\Users\cbram\streaming-05-smart-smoker
2024-06-11 16:23:10,286.bbq_producer.INFO ==================================================
2024-06-11 16:23:10,376.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:20, 84.2
2024-06-11 16:23:11,440.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:20, 84.2
2024-06-11 16:23:12,502.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:21, 87.6
2024-06-11 16:23:13,565.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:21, 87.6
2024-06-11 16:23:14,605.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:22, 86.3
2024-06-11 16:23:15,670.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:22, 86.3
2024-06-11 16:23:16,713.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:23, 92
2024-06-11 16:23:17,759.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:23, 92
2024-06-11 16:23:18,823.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:24, 96.8
2024-06-11 16:23:19,905.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:24, 96.8
2024-06-11 16:23:20,972.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.6
2024-06-11 16:23:22,039.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.9
2024-06-11 16:23:23,109.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.9
2024-06-11 16:23:24,175.bbq_producer.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:26, 104.8
